miasto,lat,lon,kraj,iso,region,kontynent
Minna,9.6139,6.5569,Nigeria,NGA,Niger,Africa
Sumbawanga,-7.9667,31.6167,Tanzania,TZA,Rukwa,Africa
Az Zaqaziq,30.5667,31.5,Egypt,EGY,Ash Sharqīyah,Africa
Al Waqf,26.0808,32.4245,Egypt,EGY,Qinā,Africa
Awasa,7.05,38.4667,Ethiopia,ETH,YeDebub Bihēroch Bihēreseboch na Hizboch,Africa
Al `Ajami,31.0959,29.7604,Egypt,EGY,Al Iskandarīyah,Africa
Al Matariyah,31.1833,32.0333,Egypt,EGY,Ad Daqahlīyah,Africa
Malabo,3.7456,8.7744,Equatorial Guinea,GNQ,Bioko Norte,Africa
Shubrakhit,31.0275,30.7128,Egypt,EGY,Al Buḩayrah,Africa
Kafr Saqr,30.7964,31.6261,Egypt,EGY,Ash Sharqīyah,Africa
Vila Teixeira da Silva,-12.1958,15.8556,Angola,AGO,Huambo,Africa
Batna,35.55,6.1667,Algeria,DZA,Batna,Africa
Setif,36.19,5.41,Algeria,DZA,Sétif,Africa
Sekondi,4.9433,-1.704,Ghana,GHA,Western,Africa
Korhogo,9.4167,-5.6167,Côte d’Ivoire,CIV,Savanes,Africa
Qillin,31.0464,30.8546,Egypt,EGY,Kafr ash Shaykh,Africa
Kaura Namoda,12.6,6.5897,Nigeria,NGA,Zamfara,Africa
Sumbe,-11.2053,13.8417,Angola,AGO,Cuanza-Sul,Africa
Gagnoa,6.1333,-5.9333,Côte d’Ivoire,CIV,Gôh-Djiboua,Africa
Dire Dawa,9.6,41.8667,Ethiopia,ETH,Dirē Dawa,Africa
Soubre,5.7833,-6.6,Côte d’Ivoire,CIV,Bas-Sassandra,Africa
Gabela,-10.85,14.3667,Angola,AGO,Cuanza-Sul,Africa
Nguru,12.8792,10.4525,Nigeria,NGA,Yobe,Africa
Gombe,10.2904,11.17,Nigeria,NGA,Gombe,Africa
Shibin al Kawm,30.5586,31.01,Egypt,EGY,Al Minūfīyah,Africa
Aswan,24.0889,32.8997,Egypt,EGY,Aswān,Africa
Bimo,4.3137,18.3065,Central African Republic,CAF,Ombella-Mpoko,Africa
Maradi,13.4833,7.1,Niger,NER,Maradi,Africa
Djelfa,34.6667,3.25,Algeria,DZA,Djelfa,Africa
Kibaha,-6.7667,38.9167,Tanzania,TZA,Coast,Africa
Sfax,34.74,10.76,Tunisia,TUN,Sfax,Africa
Antsirabe,-19.8667,47.0333,Madagascar,MDG,Antananarivo,Africa
Ed Daein,11.4608,26.1283,Sudan,SDN,East Darfur,Africa
Tchibota,-4.1794,11.3731,Congo (Brazzaville),COG,Kouilou,Africa
Kafr ad Dawwar,31.1311,30.13,Egypt,EGY,Al Buḩayrah,Africa
